region,siteID,date,bandNumber,spp,colorCombo
Pittsburgh,MADJDAVPA1,2018-03-04,2661-08096,SOSP,"OB,X"
Pittsburgh,AZARCARPA1,2018-03-09,2771-42114,SOSP,"WG,BX"
Pittsburgh,AZARCARPA1,2018-03-04,2771-42116,SOSP,"KB,KX"
Pittsburgh,AZARCARPA1,2018-03-05,2771-42116,SOSP,"KB,KX"
Pittsburgh,AZARCARPA1,2018-03-06,2771-42116,SOSP,"KB,KX"
Pittsburgh,AZARCARPA1,2018-03-08,2771-42116,SOSP,"KB,KX"
DC,BARBJERMD1,2018-03-06,2651-56243,NOCA,"-,XP"
DC,CAMPGLOMD1,2018-03-11,2651-51860,NOCA,"BB,X"
Raleigh,BEARKARNC1,2018-03-05,851-39846,NOCA,"GY,X"
Pittsburgh,DEMAPATPA1,2018-03-05,1352-46401,AMRO,"X,KY"
Pittsburgh,DEMAPATPA1,2018-03-05,1352-46401,AMRO,"X,KY"
DC,TANGLAUDC1,2018-03-11,2651-56781,NOCA,"X,OM"
DC,TANGLAUDC1,2018-03-10,2651-56781,NOCA,"X,OM"
Pittsburgh,RIGAMARPA1,2018-03-08,2711-77843,SOSP,"RO,OX"
Raleigh,WILLAMBNC1,2018-03-11,2790-45051,CACH,"XK,Y"
DC,TATEJUAMD1,2018-03-10,2710-53791,CACH,"X,KY"
Pittsburgh,FERKHOLPA1,2018-03-11,2750-45399,CACH,"KR,WX"
Pittsburgh,FERKHOLPA1,2018-03-11,2651-56428,NOCA,"XW,G"
Pittsburgh,FERKHOLPA1,2018-03-11,2750-63913,CACH,"YB,X"
Pittsburgh,FERKHOLPA1,2018-03-11,2641-96614,NOCA,"Y,XG"
Gainesville,ROBIRONFL1,2018-03-11,2331-09151,NOCA,"MM,X"
Gainesville,ROBIRONFL1,2018-03-11,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-11,2701-39136,NOCA,"B,XB"
Gainesville,ROBIRONFL1,2018-03-11,2641-96747,NOCA,"X,-"
Pittsburgh,BERASHEPA1,2018-03-11,2771-42102,SOSP,"GW,RX"
Raleigh,HARABARNC1,2018-03-08,2701-55875,NOCA,"K,YX"
Raleigh,HARABARNC1,2018-03-05,2701-55875,NOCA,"K,YX"
DC,GOCHJOAMD1,2018-03-11,2710-54263,CACH,"Y,XR"
DC,GOCHJOAMD1,2018-03-11,2791-03511,CARW,"GB,YX"
Springfield,BENNBILMA1,2018-03-05,2651-65684,NOCA,"K,GX"
Pittsburgh,FOYLDONPA1,2018-03-05,1352-46039,AMRO,"X,YW"
Pittsburgh,KILEHAYPA1,2018-03-11,2711-77414,SOSP,"B,YX"
Springfield,ATHEJIMMA2,2018-03-11,2780-93407,BCCH,"KW,WX"
Springfield,ATHEJIMMA2,2018-03-05,2780-93407,BCCH,"KW,WX"
DC,GOCHJOAMD1,2018-03-09,2840-12414,CACH,"RK,OX"
DC,GOCHJOAMD1,2018-03-08,2840-12414,CACH,"RK,OX"
DC,GOCHJOAMD1,2018-03-08,2840-12414,CACH,"RK,OX"
DC,TANGLAUDC1,2018-03-09,2651-56781,NOCA,"X,OM"
DC,TANGLAUDC1,2018-03-08,2651-56781,NOCA,"X,OM"
Gainesville,CASEANNFL1,2018-03-04,2711-54383,CARW,"X,YB"
Gainesville,CASEANNFL1,2018-03-04,2711-54388,TUTI,"XB,G"
Gainesville,CASEANNFL1,2018-03-04,1352-46103,NOCA,"RW,X"
Gainesville,CASEANNFL1,2018-03-04,2641-96738,NOCA,"GX,K"
Gainesville,CHURCARFL1,2018-03-06,2711-54355,TUTI,"X,RO"
Gainesville,CHURCARFL1,2018-03-11,2701-39139,NOCA,"XG,Y"
Gainesville,ROBIRONFL1,2018-03-04,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-05,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-08,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-09,2711-54347,TUTI,"YX,W"
Gainesville,ROBIRONFL1,2018-03-08,2590-82054,CACH,"KR,X"
Gainesville,ROBIRONFL1,2018-03-09,2590-82054,CACH,"KR,X"
DC,BEALTOMMD1,2018-03-05,2421-11549,NOCA,"XK,R"
DC,BEALTOMMD1,2018-03-11,2651-47525,NOCA,"XB,O"
DC,STEWBETMD1,2018-03-05,2750-41362,CACH,"YX,O"
DC,STEWBETMD1,2018-03-06,2750-41362,CACH,"YX,O"
DC,STEWBETMD1,2018-03-10,2750-41362,CACH,"YX,O"
DC,STEWBETMD1,2018-03-05,2710-54233,CACH,"XO,M"
DC,STEWBETMD1,2018-03-06,2710-54233,CACH,"XO,M"
DC,STEWBETMD1,2018-03-10,2710-54233,CACH,"XO,M"
DC,STEWBETMD1,2018-03-05,2651-56204,NOCA,"G,GX"
DC,STEWBETMD1,2018-03-10,2651-56204,NOCA,"G,GX"
DC,STEWBETMD1,2018-03-10,2711-54845,CARW,"X,MG"
DC,STEWBETMD1,2018-03-06,2711-54845,CARW,"X,MG"
DC,JACOSYDMD1,2018-03-04,2730-24778,CACH,"OX,B"
DC,JACOSYDMD1,2018-03-08,2730-24778,CACH,"OX,B"
DC,JACOSYDMD1,2018-03-04,2791-03508,CARW,"OG,OX"
DC,JACOSYDMD1,2018-03-11,2791-03508,CARW,"OG,OX"
DC,JACOSYDMD1,2018-03-04,2791-03509,CARW,"YO,BX"
DC,JACOSYDMD1,2018-03-04,2641-96895,NOCA,"MO,X"
DC,JACOSYDMD1,2018-03-07,2641-96895,NOCA,"MO,X"
DC,JACOSYDMD1,2018-03-08,2641-96895,NOCA,"MO,X"
DC,JACOSYDMD1,2018-03-09,2641-96895,NOCA,"MO,X"
DC,JACOSYDMD1,2018-03-09,2641-96895,NOCA,"MO,X"
DC,SALOSHEMD1,2018-03-05,2701-39080,NOCA,"BO,GX"
DC,SALOSHEMD1,2018-03-05,2750-41588,CACH,"RG,BX"
DC,TATEJUAMD1,2018-03-09,2641-63968,NOCA,"KX,RY"
DC,TATEJUAMD1,2018-03-07,2641-63969,NOCA,"GX,YO"
DC,TATEJUAMD1,2018-03-07,2710-53791,CACH,"X,KY"
DC,TATEJUAMD1,2018-03-08,2710-53791,CACH,"X,KY"
DC,RAUNERIMD2,2018-03-10,2531-74574,NOCA,"Y,XG"
DC,REITBOBMD1,2018-03-07,2771-42007,SOSP,"YO,RX"
Pittsburgh,KILEHAYPA1,2018-03-07,2711-77414,SOSP,"B,YX"
Pittsburgh,MEALRYAPA1,2018-03-04,2651-56644,NOCA,"YX,O"
Pittsburgh,FOYLDONPA1,2018-03-11,2421-04318,NOCA,"WK,WX"
Pittsburgh,FOYLDONPA1,2018-03-11,2840-18536,CACH,"WW,OX"
Pittsburgh,FOYLDONPA1,2018-03-07,2840-18536,CACH,"WW,OX"
Pittsburgh,FOYLDONPA1,2018-03-05,2750-64199,CACH,"K,BX"
Pittsburgh,AZARCARPA1,2018-03-09,2771-42116,SOSP,"KB,KX"
Atlanta,HOPKMARGA1,2018-03-10,2701-39053,NOCA,"B,XB"
Pittsburgh,GETZGLEPA1,2018-03-04,2750-63861,CACH,"BW,GX"
Raleigh,BUDNNORNC1,2018-03-04,0851-39967,NOCA,"M,MX"
Atlanta,HOPKMARGA1,2018-03-10,2711-77694,SOSP,"G,XO"
Raleigh,BUDNNORNC1,2018-03-04,2711-64125,CARW,"XO,Y"
Raleigh,BUDNNORNC1,2018-03-04,2771-40547,CARW,"MX,R"
Pittsburgh,AZARCARPA1,2018-03-05,2421-04308,NOCA,"WG,BX"
DC,VERSBETMD2,2018-03-11,2651-52195,NOCA,"GO,YX"
Pittsburgh,AZARCARPA1,2018-03-07,2421-04308,NOCA,"WG,BX"
Pittsburgh,AZARCARPA1,2018-03-08,2421-04308,NOCA,"WG,BX"
Pittsburgh,AZARCARPA1,2018-03-09,2421-04308,NOCA,"WG,BX"
Raleigh,MOSELYNNC1,2018-03-04,2701-55864,NOCA,"RX,K"
Raleigh,MOSELYNNC1,2018-03-04,1352-92425,NOMO,"X,OY"
Pittsburgh,AZARCARPA1,2018-03-09,2421-04309,NOCA,"KB,KX"
DC,VERSBETMD2,2018-03-10,2750-64320,CACH,"XB,Y"
DC,VERSBETMD2,2018-03-07,2641-63776,NOCA,"X,GB"
Pittsburgh,FERKHOLPA1,2018-03-04,2750-45400,CACH,"GO,RX"
DC,BUISNORVA1,2018-03-09,2750-64353,CACH,"YX,O"
DC,COLSKATMD1,2018-03-11,2750-44446,CACH,"XM,M"
Pittsburgh,FERKHOLPA1,2018-03-04,2570-44789,CACH,"YY,BX"
Pittsburgh,DEPHKATPA1,2018-03-09,2541-40511,SOSP,"X,GO"
Pittsburgh,FERKHOLPA1,2018-03-04,2641-96614,NOCA,"Y,XG"
Pittsburgh,DEPHKATPA1,2018-03-09,2840-18506,CACH,"GG,BX"
Pittsburgh,FERKHOLPA1,2018-03-04,2750-63913,CACH,"YB,X"
Pittsburgh,DEPHKATPA1,2018-03-09,2840-18507,CACH,"OO,OX"
Atlanta,SWALDAWGA1,2018-03-11,2710-25731,CACH,"R,MX"
Atlanta,SWALDAWGA1,2018-03-10,2710-25731,CACH,"R,MX"
Pittsburgh,FERKHOLPA1,2018-03-04,2651-56428,NOCA,"XW,G"
Pittsburgh,FERKHOLPA1,2018-03-04,2570-44788,CACH,"OW,BX"
Raleigh,MOSELYNNC1,2018-03-10,2701-55862,NOCA,"WX,R"
Pittsburgh,FERKHOLPA1,2018-03-04,2711-57689,SOSP,"BY,GX"
Pittsburgh,BERASHEPA1,2018-03-05,2421-04301,NOCA,"OO,OX"
Pittsburgh,BERASHEPA1,2018-03-09,2771-42102,SOSP,"GW,RX"
Pittsburgh,BERASHEPA1,2018-03-10,2771-42102,SOSP,"GW,RX"
Pittsburgh,KARMALYPA3,2018-03-04,2711-57671,SOSP,"WB,GX"
Raleigh,WALTANNNC1,2018-03-05,1352-92426,NOMO,"RR,X"
Pittsburgh,BERASHEPA1,2018-03-05,2771-42102,SOSP,"GW,RX"
Raleigh,WALTANNNC1,2018-03-09,1352-92426,NOMO,"RR,X"
Raleigh,WALTANNNC1,2018-03-10,1352-92426,NOMO,"RR,X"
Raleigh,WALTANNNC1,2018-03-05,2711-64070,SOSP,"X,OM"
Pittsburgh,FERKHOLPA1,2018-03-05,2570-44789,CACH,"YY,BX"
Pittsburgh,MADJDAVPA1,2018-03-05,2741-54817,SOSP,"XM,P"
Raleigh,WALTANNNC1,2018-03-05,2790-45015,CACH,"XY,R"
Raleigh,MOSELYNNC1,2018-03-05,1352-92425,NOMO,"X,OY"
Raleigh,WALTANNNC1,2018-03-09,2790-45015,CACH,"XY,R"
Raleigh,LOFLKATNC1,2018-03-04,0951-61593,NOCA,"K,XO"
Raleigh,LOFLKATNC1,2018-03-04,851-39857,NOCA,"XW,B"
Raleigh,LOFLKATNC1,2018-03-05,2180-92431,CACH,"XR,W"
Raleigh,MOSELYNNC1,2018-03-11,2771-40401,CARW,"B,GX"
Pittsburgh,WOLFMELPA1,2018-03-05,2750-63805,BCCH,"PM,X"
Raleigh,MOSELYNNC1,2018-03-11,1352-92425,NOMO,"X,OY"
Raleigh,DEBRMARNC1,2018-03-10,0851-39955,NOCA,"Y,XY"
Atlanta,NEWMCHRGA1,2018-03-05,1292-64588,NOMO,"R,XK"
Pittsburgh,DEPHKATPA1,2018-03-05,2690-96112,CACH,"X,W"
Pittsburgh,DEPHKATPA1,2018-03-05,2750-63970,CACH,"W,XG"
Pittsburgh,KARMALYPA3,2018-03-07,2711-57669,CARW,"KW,OX"
Pittsburgh,KARMALYPA3,2018-03-07,2711-57671,SOSP,"WB,GX"
Pittsburgh,KARMALYPA3,2018-03-07,2711-57673,SOSP,"WR,GX"
Pittsburgh,KARMALYPA3,2018-03-06,2711-57671,SOSP,"WB,GX"
Raleigh,BEEGERLNC1,2018-03-06,2701-55835,NOCA,"B,MX"
Pittsburgh,AZARCARPA1,2018-03-09,2771-42117,SOSP,"RY,YX"
Pittsburgh,MEALRYAPA1,2018-03-05,2750-45176,CACH,"P,YX"
Pittsburgh,MOLLRUSPA1,2018-03-04,2750-63868,HOWR,"BR,RX"
Pittsburgh,BARTTARPA1,2018-03-07,2641-64059,NOCA,"XG,R"
Gainesville,ROBIRONFL1,2018-03-07,2641-96752,NOCA,"X,RW"
Gainesville,ROBIRONFL1,2018-03-08,2641-96752,NOCA,"X,RW"
Gainesville,ROBIRONFL1,2018-03-09,2641-96752,NOCA,"X,RW"
Gainesville,ROBIRONFL1,2018-03-10,2641-96752,NOCA,"X,RW"
Pittsburgh,GERHEUNPA1,2018-03-10,2421-04347,NOCA,"BK,GX"
Pittsburgh,GERHEUNPA1,2018-03-10,2741-54788,CARW,"GX,B"
Raleigh,LOFLKATNC1,2018-03-06,2180-92432,CACH,"OG,X"
Raleigh,LOFLKATNC1,2018-03-06,851-39855,GRCA,"XR,R"
Pittsburgh,BARTTARPA1,2018-03-10,2641-64059,NOCA,"XG,R"
Gainesville,ROBIRONFL1,2018-03-09,2701-39136,NOCA,"B,XB"
Gainesville,ROBIRONFL1,2018-03-07,2701-39136,NOCA,"B,XB"
Gainesville,ROBIRONFL1,2018-03-08,2701-39136,NOCA,"B,XB"
Gainesville,ROBIRONFL1,2018-03-10,2701-39136,NOCA,"B,XB"
Atlanta,HOGAMELGA1,2018-03-04,2711-58045,TUTI,"MO,X"
Atlanta,HOGAMELGA1,2018-03-06,2711-58045,TUTI,"MO,X"
Pittsburgh,DEPHKATPA1,2018-03-10,2840-18506,CACH,"GG,BX"
Pittsburgh,BERASHEPA1,2018-03-06,2771-42102,SOSP,"GW,RX"
Atlanta,NEWMCHRGA1,2018-03-09,1292-64588,NOMO,"R,XK"
Atlanta,SWALDAWGA1,2018-03-05,2710-25731,CACH,"R,MX"
Atlanta,SWALDAWGA1,2018-03-06,2710-25731,CACH,"R,MX"
Atlanta,SWALDAWGA1,2018-03-05,2671-01975,NOCA,"BB,X"
Raleigh,MOSELYNNC1,2018-03-06,1352-92425,NOMO,"X,OY"
Pittsburgh,FERKHOLPA1,2018-03-09,2750-45400,CACH,"GO,RX"
Raleigh,MOSELYNNC1,2018-03-06,2701-55863,NOCA,"P,KX"
DC,BARBJERMD1,2018-03-05,2651-56716,NOCA,"R,XB"
DC,BARBJERMD1,2018-03-06,2750-41387,CACH,"XP,Y"
Pittsburgh,FERKHOLPA1,2018-03-06,2750-45400,CACH,"GO,RX"
Pittsburgh,FERKHOLPA1,2018-03-09,2641-96614,NOCA,"Y,XG"
Pittsburgh,WOLFMELPA1,2018-03-06,2750-63805,BCCH,"PM,X"
Pittsburgh,FERKHOLPA1,2018-03-09,2651-56428,NOCA,"XW,G"
Gainesville,ROBIRONFL1,2018-03-05,2701-39137,NOCA,"X,OR"
Gainesville,ROBIRONFL1,2018-03-08,2701-39137,NOCA,"X,OR"
Gainesville,ROBIRONFL1,2018-03-09,2701-39137,NOCA,"X,OR"
Pittsburgh,FERKHOLPA1,2018-03-09,2570-44788,CACH,"OW,BX"
Pittsburgh,FERKHOLPA1,2018-03-09,2750-45399,CACH,"KR,WX"
Pittsburgh,KILEHAYPA1,2018-03-05,2711-77414,SOSP,"B,YX"
Pittsburgh,KILEHAYPA1,2018-03-06,2711-77414,SOSP,"B,YX"
Pittsburgh,FERKHOLPA1,2018-03-09,1781-50446,NOCA,"OX,B"
Pittsburgh,KILEHAYPA1,2018-03-05,2750-63905,CACH,"O,MX"
Pittsburgh,FERKHOLPA1,2018-03-09,1781-50444,NOCA,"OW,X"
Pittsburgh,FOYLDONPA1,2018-03-06,2750-64199,CACH,"K,BX"
Pittsburgh,THOMDEBPA1,2018-03-09,2441-14806,SOSP,"R,RX"
Pittsburgh,DEPHKATPA1,2018-03-06,2840-18506,CACH,"GG,BX"
Pittsburgh,DEPHKATPA1,2018-03-06,2840-18507,CACH,"OO,OX"
Raleigh,HINTLORNC1,2018-03-09,2771-40552,CARW,"B,XB"
Raleigh,BEEGERLNC1,2018-03-07,1352-92507,AMRO,"X,OB"
Pittsburgh,FERKHOLPA1,2018-03-08,2750-63913,CACH,"YB,X"
Pittsburgh,GERHEUNPA1,2018-03-07,2651-51765,NOCA,"PG,X"
Pittsburgh,FERKHOLPA1,2018-03-07,2711-57689,SOSP,"BY,GX"
Pittsburgh,FERKHOLPA1,2018-03-06,2711-57689,SOSP,"BY,GX"
Pittsburgh,DEPHKATPA1,2018-03-07,2840-18506,CACH,"GG,BX"
Pittsburgh,FERKHOLPA1,2018-03-08,2570-44788,CACH,"OW,BX"
Pittsburgh,FERKHOLPA1,2018-03-06,2651-56428,NOCA,"XW,G"
DC,COLSKATMD1,2018-03-05,2750-44446,CACH,"XM,M"
DC,COLSKATMD1,2018-03-07,2531-74593,NOCA,"OX,O"
Colorado,FROSKATCO1,2018-03-07,2720-56375,BCCH,"B,XR"
Raleigh,HARVSUENC1,2018-03-08,2180-92578,CACH,"MX,K"
Raleigh,HARVSUENC1,2018-03-06,2180-92578,CACH,"MX,K"
Raleigh,HARVSUENC1,2018-03-07,2180-92578,CACH,"MX,K"
Raleigh,HARVSUENC1,2018-03-04,2180-92578,CACH,"MX,K"
Pittsburgh,GERHEUNPA1,2018-03-08,2421-04347,NOCA,"BK,GX"
Pittsburgh,LEEJOEPA1,2018-03-05,1781-50409,NOCA,"K,BX"
Pittsburgh,GERHEUNPA1,2018-03-08,2651-51765,NOCA,"PG,X"
Raleigh,MOSELYNNC1,2018-03-09,1352-92425,NOMO,"X,OY"
Pittsburgh,FOYLDONPA1,2018-03-07,2421-04317,NOCA,"OK,RX"
Pittsburgh,FOYLDONPA1,2018-03-07,2421-04318,NOCA,"WK,WX"
Pittsburgh,THOMDEBPA1,2018-03-08,2750-63961,CACH,"W,OX"
Pittsburgh,THOMDEBPA1,2018-03-08,2750-63962,CACH,"X,YY"
Pittsburgh,BERASHEPA1,2018-03-07,2771-42102,SOSP,"GW,RX"
Raleigh,HARVSUENC1,2018-03-05,2180-92580,CACH,"B,XB"
Raleigh,HARVSUENC1,2018-03-08,0851-39818,NOCA,"B,X"
Atlanta,BELMNIKGA1,2018-03-07,2651-47415,NOCA,"Y,KX"
Pittsburgh,MADJDAVPA1,2018-03-08,1781-50465,NOCA,"RX,P"
Pittsburgh,BERASHEPA1,2018-03-08,2771-42102,SOSP,"GW,RX"
DC,COLSKATMD1,2018-03-08,2531-74593,NOCA,"OX,O"
DC,COLSKATMD1,2018-03-09,2531-74593,NOCA,"OX,O"
Springfield,HALALEEMA1,2018-03-11,2750-34946,BCCH,"GG,X"
Raleigh,DURBLAUNC1,2018-03-08,2711-64016,CARW,"OX,B"
DC,COLSKATMD1,2018-03-09,2750-44446,CACH,"XM,M"
DC,COLSKATMD1,2018-03-09,2750-44446,CACH,"XM,M"
Springfield,HALALEEMA1,2018-03-04,2750-34947,BCCH,"MK,X"
DC,COLSKATMD1,2018-03-08,2750-44446,CACH,"XM,M"
Raleigh,MOSELYNNC1,2018-03-08,1352-92425,NOMO,"X,OY"
DC,LAFOMELVA1,2018-03-05,2651-56295,NOCA,"X,KO"
Pittsburgh,LYNCPATPA1,2018-03-04,1761-81933,SOSP,"GX,WW"
Pittsburgh,LYNCPATPA1,2018-03-05,2641-64093,NOCA,"YM,X"
Raleigh,SIMPEDWNC1,2018-03-06,1352-92502,NOCA,"WX,M"
Springfield,MERIMARMA1,2018-03-04,2690-87794,BCCH,"OR,X"
Springfield,DOPPJANMA1,2018-03-06,2690-87755,BCCH,"W,XW"
Springfield,DOPPJANMA1,2018-03-06,2750-34995,BCCH,"XG,N"
Springfield,DOPPJANMA1,2018-03-05,2750-34995,BCCH,"XG,N"
Springfield,GRIFRACMA1,2018-03-07,2750-34984,BCCH,"NO,X"
Springfield,GRIFRACMA1,2018-03-08,2750-34984,BCCH,"NO,X"
Springfield,DOPPJANMA1,2018-03-08,2690-87755,BCCH,"W,XW"
Springfield,MERIMARMA1,2018-03-09,2780-93291,BCCH,"PG,PX"
Springfield,MERIMARMA1,2018-03-09,2690-87789,BCCH,"W,XO"
Springfield,GRIFRACMA1,2018-03-09,2750-34984,BCCH,"NO,X"
Springfield,HIGGBETMA1,2018-03-09,2651-43543,NOCA,"XY,O"
Springfield,DOPPJANMA1,2018-03-09,2690-87755,BCCH,"W,XW"
Springfield,AKREMICMA2,2018-03-11,2780-93412,BCCH,"BY,WX"
